cs10,cs1,br1,br10
97,12,3,18
105,11,5,20
106,12,4,28
96,10,6,37
101,10,0,18
116,7,2,21
103,9,3,39
98,11,2,27
115,9,0,21
113,14,2,34
103,11,4,27
128,10,1,31
109,6,6,27
98,9,5,22
80,11,1,25
120,12,4,31
122,16,0,20
107,12,5,25
107,10,2,30
99,6,0,25
97,12,0,41
103,7,1,25
100,9,3,26
98,9,4,25
104,9,0,28
90,8,0,24
119,15,3,22
107,10,3,27
98,3,1,22
108,5,2,30
90,13,3,20
91,7,2,23
116,14,4,24
102,11,4,25
91,9,1,23
109,7,2,28
95,8,0,21
115,9,3,23
101,8,2,17
103,14,3,28
86,8,2,26
110,15,4,31
96,13,1,27
93,10,5,17
101,12,3,22
117,12,2,32
114,5,1,21
96,13,3,17
106,6,1,14
112,11,1,29
112,4,2,32
119,8,2,25
94,11,3,25
104,10,6,22
105,9,2,26
122,10,2,29
110,11,3,21
107,13,0,25
86,9,3,34
115,7,1,29
110,11,0,21
106,12,2,30
109,12,1,20
129,6,2,25
106,8,2,24
119,12,2,35
81,15,1,27
96,10,2,19
102,10,0,24
103,8,3,24
128,6,8,24
110,12,1,29
109,12,3,19
131,11,1,30
82,11,4,24
107,15,3,30
103,15,1,20
103,10,1,23
99,11,3,24
114,9,2,27
95,10,3,33
102,12,6,26
86,12,3,29
107,14,5,23
109,11,4,27
94,13,2,20
88,13,1,31
108,8,1,22
114,13,2,26
92,16,3,24
98,17,1,23
101,14,3,21
104,8,4,28
109,9,2,15
112,14,2,14
98,10,4,22
96,11,2,18
106,13,3,20
106,7,2,17
86,13,1,22
